base_name,extension,first_frame,last_frame,frame_count,missing_frame_count,total_size_bytes,total_size_human,directory,first_frame_path,width,height,fps,codec,pix_fmt,duration_sec
LAMPAR,.jpg,1,3,3,0,544910,532.1 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\OTHERS\LAMPARA1,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\OTHERS\LAMPARA1\LAMPAR01.jpg,,,,,,
LAMPA,.jpg,301,303,3,0,523311,511.0 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\OTHERS\LAMPARA3,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\OTHERS\LAMPARA3\LAMPA301.jpg,,,,,,
LAMPA,.jpg,401,403,3,0,517254,505.1 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\OTHERS\LAMPARA4,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\OTHERS\LAMPARA4\LAMPA401.jpg,,,,,,
LANTER,.jpg,1,3,3,0,591470,577.6 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\OTHERS\LANTERN,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\OTHERS\LANTERN\LANTER01.jpg,,,,,,
RELOJM,.jpg,1,3,3,0,729422,712.3 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\OTHERS\RELOJMES,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\OTHERS\RELOJMES\RELOJM01.jpg,,,,,,
VELETA,.jpg,1,3,3,0,654428,639.1 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\OTHERS\VELETA,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\OTHERS\VELETA\VELETA01.jpg,,,,,,
AUTOV,.jpg,1,3,3,0,540028,527.4 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\AUTOV,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\AUTOV\AUTOV_01.jpg,,,,,,
BIGSG,.jpg,1,3,3,0,595796,581.8 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\BIGSG,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\BIGSG\BIGSG_01.jpg,,,,,,
CAJA,.jpg,1,3,3,0,485092,473.7 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\CAJA,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\CAJA\CAJA_01.jpg,,,,,,
CARTEL,.jpg,1,3,3,0,540785,528.1 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\CARTEL,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\CARTEL\CARTEL01.jpg,,,,,,
